id_profile,placa_carro,data_aquisicao,id_carro
86031,UYW-7541, 2006-03-13,49321
122680,SWS-2397, 1977-09-26,23515
442832,UYS-3069, 2006-12-31,93095
472258,QOV-4748, 2018-03-04,21151
442312,NYO-5505, 1988-12-28,71920
873202,KSN-4656, 2015-08-25,86074
41772,NAS-2350, 1984-01-23,94707
236690,YFD-1109, 1985-09-16,66604
304692,ZHX-1409, 1993-10-22,31189
32168,ZDV-2363, 1980-01-16,7979
972432,FHL-5912, 2019-12-10,52177
268044,MUK-2431, 2020-04-12,22066
776263,LGK-7862, 1985-06-29,10222
547560,DUM-5266, 1993-10-15,87485
550210,ZIF-0865, 1971-06-07,65984
54965,AQM-4850, 1991-08-01,60319
2539,NYH-1847, 2009-06-28,71906
762963,DAP-2226, 1978-08-04,45405
783636,OXX-1525, 2020-01-13,41559
738319,RYP-2565, 2017-02-07,88510
271607,KZB-6890, 1986-03-30,56834
813324,WPH-2849, 1999-04-13,36620
265936,NTZ-1964, 2007-01-28,18339
523516,FAJ-1286, 2003-03-04,76362
334752,PIC-9009, 1989-08-03,7448
840609,RKH-0605, 1995-01-07,67304
829891,DJU-5307, 1999-10-27,85018
125007,OLW-2829, 1989-12-10,2001
470652,ZQR-3545, 2013-08-29,70768
933090,TKG-4408, 1997-12-28,2187
3973,SHS-6025, 2022-03-14,7758
636063,MDM-4520, 2020-07-04,88855
586654,YQB-1297, 1976-05-16,96969
207496,UIX-4518, 1985-08-22,52567
900681,GHC-0134, 1982-08-01,60801
171358,TVS-9217, 2007-07-15,35879
424919,XZX-1155, 1971-10-15,88531
619451,GOH-9826, 2015-03-27,58155
116442,XBV-7954, 2013-03-20,61985
620767,WTS-3733, 2020-05-29,85130
885953,VWT-4370, 2018-06-04,90353
334163,GUQ-4286, 1976-09-18,44621
533746,QHY-5116, 1991-02-10,47176
7015,OIM-5478, 2011-02-02,43532
900169,QFX-6948, 1994-12-07,42889
960718,MCG-5679, 1999-07-02,83072
671938,TEY-6127, 1972-02-21,47188
501816,ZWJ-1535, 1980-05-28,26841
412624,SNI-0301, 2021-04-13,97716
118757,EVF-5144, 1998-03-02,68586
898994,VNN-9890, 1977-11-15,48674
672132,NQU-2234, 1987-12-18,7971
518721,MIX-8018, 1996-04-26,75652
356646,BBJ-0463, 1972-08-20,52202
216690,GYI-5388, 2019-01-05,43403
795975,URJ-1879, 1994-11-12,54106
608446,MML-3158, 2010-04-19,2685
500645,RDW-7143, 2002-05-26,24595
133503,JQF-4285, 2018-02-23,59091
583193,JCN-4999, 1997-08-22,56715
390410,QPH-5639, 1977-12-01,40309
25060,PQC-5745, 1994-09-19,42795
290819,ZKI-7247, 2014-02-07,9554
30092,KIA-4686, 1980-02-04,86342
737655,GDM-6005, 1980-11-29,61904
607468,CIC-1713, 1979-05-22,12031
191772,EBJ-8129, 1990-12-31,52470
309617,JGS-5871, 2002-06-25,90822
192467,QCD-8284, 1975-06-24,39415
663906,VYL-8222, 2011-03-17,10994
412316,AMP-7775, 1974-05-12,80627
176830,IHT-8065, 2014-02-26,44635
186266,RDQ-7941, 1983-08-18,70087
413006,VJF-7208, 1994-04-19,97397
559146,RSZ-5039, 1972-07-10,91205
787477,KUX-0748, 2016-09-08,84981
582237,MWK-6935, 1983-08-19,11977
191520,EBU-4306, 1971-06-28,67048
159974,CZV-9870, 1997-04-21,80722
414681,ZWV-9499, 2015-01-18,5275
628236,LSU-4018, 2001-08-06,29672
504705,LRX-8148, 2010-04-06,67064
275734,ROB-2197, 1999-08-26,93581
694854,AHN-9885, 2019-07-21,36494
55247,VFF-1934, 1991-10-28,1464
83585,FCZ-8242, 1976-10-14,61268
709497,SJU-2545, 2022-05-27,77619
730448,KLV-7983, 2006-01-20,48596
735364,ETM-1807, 1973-07-15,20212
29924,UID-3631, 2018-06-13,99543
972019,AJA-0534, 2007-05-14,25129
968600,BUQ-7359, 1994-06-14,33715
759307,EAY-0274, 1981-02-19,34606
683496,XKP-1461, 2014-12-21,43105
485984,FVC-5270, 1987-04-05,87868
204759,KMU-3769, 1991-07-03,85109
66901,TWB-0720, 1996-04-27,35427
180921,BIV-3019, 1984-03-13,18190
626125,PZQ-5089, 2017-06-05,44687
595970,MSB-9498, 2000-04-28,16259
561841,HYE-9750, 2013-08-25,3867
62028,NYY-3189, 1984-12-14,81956
480397,AHJ-0148, 2004-12-15,2715
945787,KQD-3812, 1988-11-27,54387
25758,DLF-9600, 2000-05-12,68072
580709,SAZ-5765, 1981-03-02,9804
150731,VNN-5866, 1985-10-17,34874
257044,HRH-5216, 2012-02-18,9606
565315,JAI-6757, 2020-06-22,14029
641451,DRU-7248, 2002-02-20,47153
683390,MGL-3629, 2014-03-27,91552
860055,XHG-8435, 2010-01-20,33877
352038,EOP-4519, 2019-01-29,55484
900635,YZN-0988, 1972-11-05,4477
249086,GSV-8444, 2017-01-14,84711
289169,CLS-2731, 2016-11-25,74212
772619,FXD-2551, 1986-09-29,54817
408663,WBW-9670, 1980-11-22,40765
542195,UFS-9426, 2005-07-16,55516
644009,FSH-0049, 1989-03-02,74602
423011,PFW-4457, 1992-02-15,81222
307403,CAH-5097, 2003-11-26,64913
640606,HED-4031, 1980-05-10,74295
45879,ELC-2923, 2015-01-19,35066
574509,QRI-5711, 1972-08-17,56763
632965,AOX-1112, 1981-10-22,94518
399871,WHL-2014, 2009-08-19,59731
128343,SIR-6133, 1984-11-26,96227
250874,VPS-0221, 1993-05-29,12295
126697,EXG-4577, 1980-01-24,33871
864574,VXI-3534, 1999-01-10,36586
842704,MRJ-4794, 1976-09-17,93968
861533,SEU-9105, 1993-08-13,98344
371128,EHT-1607, 2006-04-09,51427
4712,IRL-2506, 2009-07-04,46051
489848,LBI-4407, 1970-12-22,72903
134307,ORY-1863, 1979-10-30,31293
822519,BZS-4278, 1996-03-23,40761
728800,HEV-8188, 1974-03-07,99546
582930,HBY-1920, 2019-03-30,21504
665967,FQR-0183, 1972-03-07,23102
316090,CDE-0327, 2015-04-08,85451
921442,FXO-7385, 1973-06-03,22875
636170,SJO-0224, 1991-03-26,74996
995678,CTY-4938, 2000-01-20,79812
974966,FEW-0176, 1995-09-09,86360
937951,UAI-6710, 1999-10-05,11785
504934,HIX-4371, 2005-02-14,78251
445342,QAC-2789, 2013-06-24,64076
55383,DTC-1378, 1976-03-22,36945
37259,ABY-1089, 1980-09-01,10552
979865,HQP-4685, 2018-03-25,62551
167571,JNM-1994, 1988-05-07,54466
703619,VLZ-3504, 1976-02-23,28742
480371,QIG-8333, 1999-01-11,86315
715921,IUG-6689, 1996-09-15,40885
37606,DHA-8827, 1981-12-06,21401
957415,KZX-7407, 2006-01-12,90765
72340,LDB-1976, 1983-08-30,55269
414773,WKE-8655, 2003-06-27,41500
375182,HXQ-5031, 1972-06-05,87183
908170,ROT-2226, 2011-05-25,33410
657899,QEC-5955, 1994-07-22,22740
48066,BSX-0758, 1979-09-17,18169
528768,ZZY-6632, 2016-08-25,98686
349408,ZZN-3748, 1977-03-12,22239
849672,SOU-0209, 1975-08-21,64971
40489,QQY-3760, 1982-05-11,2031
970524,QLM-3354, 1999-07-15,51785
89609,VXL-0780, 2005-10-30,85043
227609,CTW-3508, 1974-01-17,44497
119300,HUL-1122, 1974-04-29,51049
510066,SOT-6288, 2011-04-06,74055
932566,IOE-5826, 2019-08-22,95550
298914,LRU-3425, 1981-05-21,9753
150633,MHL-7929, 2011-05-14,47449
313180,JEH-2466, 1996-12-26,55407
97974,YEG-7539, 1978-04-09,82911
596464,ELK-9196, 2017-07-18,61375
286759,LYT-9425, 1979-01-14,95279
737219,FMW-4075, 1976-12-08,50726
733939,OMG-8826, 2003-03-19,22899
642224,POV-7742, 1985-04-14,86745
309524,FEI-7478, 1997-02-11,82521
177922,QFH-8724, 2017-07-16,96304
609180,OJW-1995, 1986-06-29,56943
764355,EGV-1062, 1999-03-18,38378
28701,VDB-5579, 1978-01-28,38109
275650,WLK-5132, 1981-09-11,26235
732215,ASF-5431, 2009-12-18,7975
22121,KRS-4668, 1972-03-08,17679
534548,GPB-5371, 1992-10-01,1137
33597,QGR-2462, 1990-12-05,28731
235067,DUS-3194, 2007-09-07,83253
868125,XDO-6347, 2014-04-20,93193
537399,CHL-8038, 2021-06-03,89522
882264,DGZ-1125, 2004-03-05,99550
163593,OEF-8219, 1971-04-12,88740
479003,APF-5147, 2016-03-04,98519
506544,FHB-9730, 1971-04-18,82597
891216,XDV-6277, 1997-02-11,93720
20605,YXE-9208, 2014-07-04,52461
696880,APJ-2283, 1986-08-08,47564
730554,GSE-7136, 2010-02-15,85162
131144,AFA-7950, 1993-06-25,61701
16528,TTC-5906, 1981-06-25,23186
457275,CGE-4289, 2007-04-06,85663
874570,EFD-2348, 1981-09-24,31786
403452,PBI-3901, 2000-08-16,71007
836246,TAQ-8847, 1979-03-12,3972
954465,WAL-1067, 2005-03-15,93245
821058,JPO-3227, 1996-07-18,55051
75944,VYW-3118, 1987-02-25,84772
285911,SLG-4356, 1977-09-25,46246
630993,XZL-0904, 1984-06-11,12466
861931,HEL-9433, 1995-07-08,49985
641283,UMC-1187, 2015-06-24,92226
837785,KKG-6350, 1979-04-17,60134
488436,JTQ-5138, 1986-08-29,10320
805022,TKV-1891, 2015-01-01,80271
33240,IQL-5449, 1994-08-28,25154
889917,CJF-0726, 2009-08-22,78744
231597,YUT-8306, 1991-01-06,61447
569855,IBT-9010, 2005-02-16,80235
361092,SRL-7941, 1980-01-03,88651
609055,WJX-7765, 2005-06-09,71394
95149,QXS-1496, 2004-06-14,99299
622470,WQR-9558, 1987-11-08,34678
669521,EHE-1007, 1996-04-10,47566
370760,NLC-6167, 1970-08-26,11162
470314,ULG-2647, 1995-01-28,56085
258417,JVY-0779, 1983-02-11,67352
486755,QDH-8120, 2011-03-09,46161
867953,XGA-3131, 1976-11-09,32814
921024,DCN-1362, 1984-04-01,87831
744842,ZYS-0428, 1998-01-30,39453
250053,JOU-9771, 1988-05-17,53931
426178,ZTT-0026, 2001-11-11,92368
685730,RQI-1765, 1990-05-17,36244
229825,PZF-1942, 2013-03-04,29341
872516,QMY-0399, 1974-03-01,74510
183587,KQM-6135, 2005-07-18,84286
251959,BNI-2005, 1976-02-26,90198
593105,MQE-3968, 1980-03-22,6158
451841,SYP-5794, 1991-08-10,99661
512559,VIA-5750, 1989-01-02,37279
354866,OHQ-3003, 2019-10-20,94168
959700,ESC-6015, 1974-10-23,29000
471042,YCI-9159, 2017-05-15,29799
952340,NQU-7197, 2009-09-27,43162
812086,KJC-3835, 1979-06-28,8277
211621,KJM-6255, 1987-07-11,12583
938209,UCJ-4015, 1990-01-12,7952
276218,SRT-0977, 1972-06-20,8345
65934,PVQ-3702, 2007-11-17,81525
891039,QBL-7491, 1975-01-26,55739
182696,NMH-2954, 2018-10-02,72832
700207,ARE-8006, 1983-01-19,48722
884539,VIP-8783, 2003-12-20,88259
995220,KAK-4969, 1971-11-27,10207
366210,OZR-6880, 2012-04-18,37647
940207,STX-6042, 1975-10-25,99659
329956,AMH-7817, 1988-01-09,18223
778281,JST-4629, 1997-03-22,46074
841947,NRU-5779, 2014-06-22,46481
675174,SVH-1477, 2008-05-03,28782
539302,TQR-0280, 1989-01-07,70804
265830,CNP-2468, 1972-09-02,67148
163380,VUA-8747, 1995-08-14,83230
855257,WRR-2755, 2002-05-01,18333
478770,FUO-7067, 1971-09-08,35586
869765,ZTS-9616, 1979-01-28,87354
251785,SEQ-5568, 1990-01-26,77896
710852,MMY-0890, 1984-01-29,23098
995452,BSA-4572, 1974-06-12,21262
898692,ZIR-4727, 1997-05-26,83970
239257,EVM-9111, 2017-07-03,17552
805858,UQV-9862, 1974-04-15,15938
981886,NQA-1735, 1989-06-04,89484
72805,ODJ-1335, 1970-08-11,13319
311050,ARI-9700, 1971-03-23,83239
342478,MRF-8008, 1977-03-04,37754
507760,GRE-3141, 1973-09-11,20539
745983,BDJ-7786, 2021-01-31,33084
974146,VZZ-1353, 2010-08-07,63518
615446,HJO-7224, 1975-01-23,85853
210249,KQJ-1098, 2001-10-25,78825
219428,FMX-3435, 1983-04-16,26731
680928,PZX-9946, 1992-11-09,24842
529333,RAP-1708, 2016-03-09,86147
674108,NRU-2564, 2021-09-22,29391
890752,VAN-8369, 2014-08-19,37864
368927,AGA-3532, 1988-08-23,22491
733984,KOW-6893, 1987-08-05,37756
673615,FGP-6324, 1996-02-15,7238
698131,LTG-0175, 1983-09-12,96884
811238,BFF-7972, 1983-07-12,19873
223105,SXS-1472, 1984-06-06,25336
272605,KUX-6038, 1988-05-02,96384
141984,IWW-9266, 2005-11-07,6763
912070,WJH-9911, 1988-03-10,49527
48141,UKU-6537, 2019-05-12,11037
623926,KPP-6731, 1997-03-16,17880
249895,YTP-1757, 1970-02-02,62714
961422,BBK-0013, 1985-07-02,97576
914371,QEO-9340, 1991-02-25,13688
654242,KJF-7166, 1978-01-13,50595
320676,YRS-8324, 2022-06-23,59909
913433,HFU-5753, 2012-01-06,55079
756121,QGW-6394, 2019-09-03,70837
56369,TPZ-3637, 2004-08-10,83930
132447,TFO-6408, 1970-09-08,88305
288120,RSC-9349, 1987-01-10,77339
916081,KBY-6926, 2006-08-07,20913
883224,QGV-3789, 2009-05-24,75061
35583,DBH-4510, 2003-03-25,25155
559865,CRE-9232, 2021-11-04,49781
944678,WXN-6956, 1972-03-14,18008
337159,NBC-0049, 2005-03-24,27604
333821,JCZ-3739, 1996-10-01,96463
317109,IDT-4752, 1990-03-25,33166
932384,RZV-0929, 1977-03-22,19440
922632,MJR-9467, 1997-06-14,7351
6887,NYP-0674, 1997-09-06,11181
565372,SZY-7764, 1975-08-23,42400
342416,VBD-4868, 1973-05-01,43950
482553,DMY-8885, 1971-04-06,16789
715998,ZNX-1395, 2021-11-30,46738
697251,QDF-9172, 2001-08-08,38514
981705,EQJ-6946, 1981-06-23,18121
241125,VZO-3967, 1986-09-04,9258
118786,ATJ-5986, 1977-12-24,43791
330004,BZO-6962, 2001-02-07,52259
103112,NMD-8223, 1985-07-22,34021
232543,DAS-3576, 2009-09-04,70245
498115,IOV-7138, 1982-03-25,63934
486366,WSY-9997, 1989-02-09,24838
853613,BIG-3450, 1993-05-17,51133
451237,ZSP-2814, 2013-11-23,36309
124659,TTF-3800, 1989-07-02,53061
140789,ZVE-1713, 2017-09-18,34348
961038,NTL-3043, 1991-03-12,26480
531431,FTU-4857, 1998-08-24,15208
535808,DMM-4180, 2019-05-03,96416
78610,POQ-2507, 2019-06-13,47155
976453,PPO-7372, 1996-04-18,42060
400568,JQS-4260, 2007-06-14,24834
217661,NNT-5327, 2018-08-02,40161
843669,LEE-2958, 1994-11-23,95485
575769,MOK-1963, 2003-08-14,30284
201429,QKQ-0600, 2016-12-21,59927
557953,QMF-3277, 2014-11-13,86432
424990,KEX-9685, 1970-11-14,66235
556322,FLR-8919, 1999-11-02,9176
423570,LTR-1915, 1983-06-01,16125
894634,FRJ-0103, 2001-01-12,96685
388776,VDE-1210, 2017-02-24,35541
172634,JFR-9911, 2006-04-15,25340
605559,RGE-1236, 1994-03-21,8871
779023,PGP-1046, 1983-02-23,90433
949262,QKN-4893, 1997-10-19,66686
317190,GJF-5334, 1988-12-09,23639
283295,SMQ-3636, 1981-11-14,32526
76768,PTE-1401, 2005-04-01,650
817378,DAG-5524, 2006-06-06,16063
388259,SDJ-4735, 2008-12-29,76195
328837,OLY-3828, 2020-11-22,51689
21752,KVI-6667, 1979-07-31,99352
743782,CUO-2469, 2013-02-05,13602
800861,DAN-5607, 2002-10-02,81805
276979,EJW-1539, 2001-09-10,60764
407852,LQH-8939, 2007-01-04,83596
555522,HFP-5504, 2003-10-28,64204
955410,MGV-1077, 1998-05-12,91906
794452,OJF-1663, 2012-02-29,74117
288138,MGK-1126, 2008-03-11,39487
683495,PRZ-9930, 1974-12-29,95397
360441,VYJ-2245, 2007-05-17,50905
449044,HUF-2102, 2013-11-20,23703
387267,NAC-0988, 2006-04-23,3971
424488,KHO-6147, 1994-05-27,97980
191456,RON-5375, 1998-05-15,43673
754826,ULA-1895, 1977-11-04,63701
728692,UCJ-4715, 2011-07-13,53394
542295,LSV-0715, 1986-08-01,12532
499288,KMD-7239, 2015-06-10,85251
512898,TIT-9231, 2018-12-04,2659
51346,XIP-5711, 1981-05-16,51234
870969,BYD-4308, 1972-05-15,6427
31900,OHT-4895, 1980-05-11,65270
952852,QUT-4731, 1999-09-26,28514
607030,BZL-7594, 1978-02-21,37853
608798,PFG-4967, 1990-12-02,2828
698010,BAU-0284, 1990-04-01,47710
384407,EBT-2156, 2016-09-26,787
89298,MOY-6205, 2000-07-04,12139
381820,FJB-0075, 2018-12-18,81242
915577,MGY-1910, 2012-06-06,57751
784941,PCK-5327, 1981-06-19,78903
904047,THS-0976, 1974-08-05,82587
715863,LZS-2261, 1989-07-19,71222
433256,GSA-8080, 1978-09-30,60885
474944,MLV-5712, 1977-05-24,99990
96101,ZND-3092, 2009-08-04,18559
6508,GNK-2459, 1980-03-12,34316
384563,DLA-7623, 1984-05-29,96927
722383,CKD-5272, 2001-08-18,52637
471882,DSM-8977, 1997-09-17,53066
664283,HUP-1894, 1993-02-25,12973
283169,DRQ-3665, 1996-10-19,29484
998391,UPR-9909, 1976-01-25,11172
463903,JAI-5823, 1976-02-07,96910
522074,QDE-8683, 2000-06-21,27214
649777,LPD-9102, 1994-10-06,46376
824306,BZY-4854, 2014-05-31,17612
142582,JNH-0762, 2008-08-28,28996
966989,DXG-8899, 1983-01-29,32387
495590,EAI-8516, 2012-08-15,30848
718138,SUL-3245, 1972-12-06,989
284749,FVT-2893, 2016-12-17,93478
401659,LCB-2387, 1971-04-22,87962
199973,MRX-6547, 1976-08-11,46377
915884,RGJ-9651, 1976-05-22,54686
780027,PUD-3343, 1979-02-13,95817
838584,JGQ-8814, 1993-07-03,19548
78154,BIQ-9014, 1993-04-29,55323
362135,NHK-0062, 1981-03-31,88645
478503,BWS-4858, 1988-01-11,41177
483050,JUA-7348, 1980-05-23,6016
436187,DGA-8447, 2020-07-16,6219
267845,QBI-1688, 1997-01-10,5186
553371,BUN-1698, 1970-07-24,85217
25496,HNN-9457, 1996-10-23,50148
620575,GNU-0301, 2004-06-13,60886
740140,SVE-2411, 1979-12-23,74720
465461,NYD-9867, 1999-01-09,92044
309014,COJ-8218, 1976-09-20,58109
305220,CDF-7120, 1994-12-14,43685
211843,HMT-4569, 2021-09-14,81898
703134,TIG-8900, 1977-07-07,91572
795699,ZGL-2674, 1975-12-09,40141
275915,IIR-2479, 1970-07-06,12920
813884,KTC-4425, 2009-02-17,69037
979712,DKX-4930, 2010-03-19,37472
374690,XDK-0855, 1973-05-04,37946
644279,LXL-3116, 1983-09-29,29125
90683,PMX-2299, 2013-07-13,49147
157872,RFP-3316, 1987-09-24,35408
927466,YSZ-1104, 1977-08-08,24597
438947,FJL-6995, 1986-06-08,2061
801270,IDY-4085, 2002-10-21,23641
854707,UIW-8296, 1999-07-14,26672
271294,MPY-0543, 2017-11-03,65406
440896,LAN-1866, 2019-10-01,9105
428216,KTI-4945, 1988-07-12,52295
38457,KFG-8544, 1987-03-20,37040
792729,LUW-0228, 1973-06-13,24998
714737,HCO-0098, 2000-06-24,88697
678162,EEH-7794, 2009-10-09,69869
373522,YAL-8898, 1973-05-24,58708
690022,RUR-8905, 1972-06-19,14485
409328,QGR-7654, 1982-09-23,93229
349731,FLP-4284, 1976-08-14,96361
199829,MTK-6555, 1975-02-26,18693
74198,VMR-8845, 2012-08-18,81929
262742,VXI-0586, 1977-11-13,68412
882178,VBA-1805, 1979-10-10,20060
586114,RMH-4917, 2002-04-10,97701
104951,KNH-0796, 2004-09-16,89187
588779,JTB-5883, 2014-01-14,11171
42885,PGF-8319, 1989-10-24,35258
955102,GHQ-6347, 1989-09-14,68299
356950,EDP-9209, 1982-08-03,88478
233727,AII-6772, 2003-10-24,66717
80085,JGB-3420, 1994-09-17,74648
860321,ZWV-3926, 1971-05-24,48088
933161,VJE-4939, 2009-06-12,28955
142499,CJW-6464, 1980-08-10,53633
319888,RKT-5531, 1992-07-11,68901
216085,JPD-0404, 2009-01-14,86643
150953,KKU-6730, 1985-07-13,81589
456793,PNC-6041, 2001-05-20,82962
545673,ORW-1376, 1999-01-20,68165
788587,TZI-0305, 1973-05-14,90563
217721,KBZ-5835, 1981-05-31,63113
100332,AMF-5378, 1978-04-27,45982
363338,XWC-8808, 1993-05-23,39342
905685,RAD-3989, 1986-03-09,40116
166578,MPV-7742, 1988-07-07,32138
226734,GMB-9790, 2005-03-30,86679
302395,FPG-7203, 1996-02-18,69935
662061,TEE-6519, 1988-10-30,16125
282184,IGR-2886, 1989-06-11,19823
14074,HVS-2698, 1989-08-03,65271
796900,DAJ-6872, 2013-06-24,97837
778432,DVP-2633, 2014-10-10,44022
685701,ZNG-0385, 1978-03-24,37756
239398,HPR-4987, 2021-04-29,59609
883076,QKM-2757, 1979-10-27,65003
877748,EMS-6650, 1984-10-28,57997
430684,YIZ-3865, 1980-06-23,19435
697943,SEI-4129, 1979-05-16,56486
521385,ZTT-5041, 2005-02-23,53073
294879,LIE-3791, 1992-08-15,20164
165069,LZL-3011, 1992-07-18,14967
677390,BPE-5490, 1993-08-26,33950
894415,KHZ-0925, 1998-02-16,53575
624907,QAB-8119, 2018-01-04,90072
858834,YFZ-7332, 1999-06-21,32175
721117,VMQ-6200, 1972-11-28,65422
711159,SYD-1486, 1995-12-10,41240
688270,RJT-3080, 2016-08-15,25505
362532,NUO-1689, 1990-01-03,62329
608281,GYJ-6595, 2006-07-30,80779
105855,CVZ-5245, 1987-11-27,60278
372641,KBS-9672, 2002-04-24,27519
414402,WAO-7651, 1990-10-02,72440
621520,VGL-1238, 2016-06-23,68246
464984,LJO-8781, 2021-08-28,93378
777423,MKD-0387, 1981-09-19,44501
10532,PYE-7718, 2008-04-09,97431
652612,GBG-0318, 1980-12-01,91025
4821,WZI-6412, 2014-04-03,22287
780318,JPS-6612, 2005-10-15,30840
580694,ZYI-8402, 2001-11-02,93109
344829,AMQ-7537, 2001-01-12,26526
144663,KYZ-1213, 2000-08-16,2480
306309,EKA-9024, 2020-01-18,41367
505225,UVU-3046, 1983-08-12,4066
839946,IFM-0999, 1982-06-20,84634
810820,FDN-9527, 1978-08-14,68164
101283,MTL-3526, 1973-07-15,90747
623702,LCB-6283, 1995-08-01,54165
132403,GIE-6948, 1970-04-12,33615
204732,MBT-8728, 1975-05-16,44656
859150,IJC-7616, 2019-07-25,88120
597347,OHU-0116, 2016-02-16,44195
6080,IOH-8848, 2001-03-01,89545
760842,AAQ-4955, 1997-05-27,43876
60749,CMW-4669, 1976-10-18,25572
9599,PTZ-7459, 1971-04-18,95634
574901,JKQ-3702, 1990-05-03,37113
727180,NJE-3150, 1978-09-18,14847
228325,NTL-4799, 1988-12-02,7172
426728,FZI-1637, 2001-06-01,3972
867645,WGO-4072, 1993-08-26,15523
670540,TXF-1008, 1992-05-24,99232
911799,PVQ-6449, 1975-11-13,85816
751667,QQL-2883, 1979-07-26,62089
325539,NAF-5445, 1986-09-24,17260
725190,WFB-5695, 2010-05-01,85437
210442,YYC-3531, 1982-09-16,60947
302802,UTK-1280, 1979-07-12,93573
125479,VYW-1955, 2022-04-25,69472
223132,ZLJ-9035, 1997-01-27,5819
889434,DEG-3467, 1991-03-26,81976
676034,CKB-7482, 1986-01-22,46164
786191,NIR-5678, 2021-09-20,44733
82659,FMX-8054, 1970-05-03,25694
86173,FAQ-8793, 1977-07-28,50649
79397,FPS-2301, 1994-07-20,45152
155822,JUG-1336, 1989-02-20,80469
934597,QYV-3994, 1992-10-31,60574
405334,YZM-0156, 2016-01-31,27760
667225,PAS-6586, 1997-04-01,26171
634936,ITN-6015, 1986-08-25,61886
791171,VPY-5742, 2002-03-18,54657
347384,SYD-4919, 1978-01-02,94064
63325,DLT-0120, 1972-10-19,57523
176036,WNH-3411, 1975-03-22,54151
356592,HUE-9601, 1985-03-05,45037
768291,NKY-0461, 1982-09-30,88843
383582,DBW-2532, 2002-11-13,2457
56048,EHS-4592, 1999-05-13,67439
152452,MID-3768, 2021-06-11,98984
224529,JXR-6226, 1999-03-10,30144
795863,YIY-2169, 1976-11-22,96767
83973,GGF-5834, 1974-05-21,15361
83593,HXI-9333, 2021-10-05,80861
841804,EOS-3312, 1980-09-13,99799
122300,URH-4057, 2015-05-27,59494
409832,HMG-2955, 1988-05-23,15043
42256,JCR-4352, 2004-07-29,29553
139336,EVK-6593, 2017-12-07,27157
72567,GJJ-1054, 1983-02-11,31873
548164,QWB-2396, 1988-07-09,29581
689429,ZGT-2427, 1989-12-01,46665
143680,KEZ-5320, 1983-11-03,81709
111147,DQT-7956, 1991-12-12,69481
248631,BAU-9233, 2003-12-06,37385
574268,FRB-7127, 1987-11-20,13933
808390,PGM-6853, 2015-10-04,32742
826094,QTG-5491, 1996-11-13,62241
866812,PYR-2471, 2006-07-24,73
716585,XZD-7804, 2016-02-23,52829
4592,KLV-9735, 1999-04-02,65078
